Part number,RTC Type,Accuracy (+/-ppm),Supply Voltage [Min to Max] (V),Low supply current (uA),Communication Protocol,Baudrate,Capacitive load (uF),Battery Back Up,SRAM,Watchdog Timer,Programmable alarm,Countdown Timer,Tamper input,Number of interrupts,Integrated Temperature Compensation,Operating Temperature (℃),AEC-Q100 compliant,Package type,Package dimensions (mm),Supplier
PCA2131TF,Module,3,1.2 to 5.5,0.106,I2C,400,-,Yes,No,Yes,Yes,No,4,2,Yes,-40 to 105,Yes,HLSON16,4.5 x 3.5 x 1.45,NXP
PCA2131TF,Module,3,1.2 to 5.5,0.106,SPI,6500,-,Yes,No,Yes,Yes,No,4,2,Yes,-40 to 105,Yes,HLSON16,4.5 x 3.5 x 1.45,NXP
PCA85073ADP,IC,20 to 50 at 25°C,1.8 to 5.5,0.25,I2C,400,7 or 12.5,No,No,No,Yes,Yes,No,1,Yes,-40 to 105,Yes,TSSOP8,3 x 3 x 1.1,NXP
PCF2131TF,Module,3,1.2 to 5.5,0.064,I2C,400,-,Yes,No,Yes,Yes,No,4,2,Yes,-40 to 85,No ,HLSON16,4.5 x 3.5 x 1.45,NXP
PCF2131TF,Module,3,1.2 to 5.5,0.064,SPI,6500,-,Yes,No,Yes,Yes,No,4,2,Yes,-40 to 85,No ,HLSON16,4.5 x 3.5 x 1.45,NXP
PCF85053ATK,IC,20 to 50 at 25°C,1.7 to 3.6,2,I2C,400,6 or 7 or 12.5,No,128 byte,No,Yes,No,No,1,Yes,-40 to 85,No ,HVSON12,3 x 3 x 0.85,NXP
PCF85063AT,IC,20 to 50 at 25°C,1.8 to 5.5,0.22,I2C,400,7 or 12.5,No,No,No,Yes,Yes,No,1,No,-40 to 85,No ,SO8,4.9 x 3.9 x 1.75,NXP
PCF85063ATL,IC,20 to 50 at 25°C,1.8 to 5.5,0.22,I2C,400,7 or 12.5,No,No,No,Yes,Yes,No,1,No,-40 to 85,No ,HXSON10,2.6 x 2.6 x 0.5,NXP
PCF85063ATT,IC,20 to 50 at 25°C,1.8 to 5.5,0.22,I2C,400,7 or 12.5,No,No,No,Yes,Yes,No,1,No,-40 to 85,No ,TSSOP8,3 x 3 x 1.1,NXP
PCA8565TS,IC,20 to 50 at 25°C,1.8 to 5.5,0.22,SPI,7000,7 or 12.5,No,No,No,Yes,Yes,No,1,No,-40 to 85,No ,HXSON10,2.6 x 2.6 x 0.5,NXP
PCF85063TP,IC,20 to 50 at 25°C,1.8 to 5.5,0.22,I2C,400,7 or 12.5,No,No,No,Yes,Yes,No,1,No,-40 to 85,No ,HWSON8,3 x 2 x 0.75,NXP
PCF85263AT,IC,20 to 50 at 25°C,1.8 to 5.5,0.28,I2C,400,6 or 7 or 12.5,Yes,No,Yes,Yes,No,1,2,No,-40 to 85,No ,SO8,4.9 x 3.9 x 1.75,NXP
PCF85263ATL,IC,20 to 50 at 25°C,1.8 to 5.5,0.28,I2C,400,6 or 7 or 12.5,Yes,No,Yes,Yes,No,1,2,No,-40 to 85,No ,HXSON10,2.6 x 2.6 x 0.5,NXP
PCF85263ATT,IC,20 to 50 at 25°C,1.8 to 5.5,0.28,I2C,400,6 or 7 or 12.5,Yes,No,Yes,Yes,No,1,2,No,-40 to 85,No ,TSSOP8,3 x 3 x 1.1,NXP
PCF85263ATT1,IC,20 to 50 at 25°C,1.8 to 5.5,0.28,I2C,400,6 or 7 or 12.5,Yes,No,Yes,Yes,No,1,2,No,-40 to 85,No ,TSSOP10,3 x 3 x 1.1,NXP
PCF85363ATL,IC,20 to 50 at 25°C,1.8 to 5.5,0.28,I2C,400,6 or 7 or 12.5,Yes,64 byte,Yes,Yes,No,1,2,No,-40 to 85,No ,HXSON10,2.6 x 2.6 x 0.5,NXP
PCF85363ATT,IC,20 to 50 at 25°C,1.8 to 5.5,0.28,I2C,400,6 or 7 or 12.5,Yes,64 byte,Yes,Yes,No,1,2,No,-40 to 85,No ,TSSOP8,3 x 3 x 1.1,NXP
PCF8563T,IC,20 to 50 at 25°C,1.8 to 5.5,0.25,I2C,400,7,No,No,Yes,Yes,Yes,No,1,No,-40 to 85,No ,SO8,4.9 x 3.9 x 1.75,NXP
PCF8563TS,IC,20 at 25°C,1.8 to 5.5,0.25,I2C,400,7,No,No,Yes,Yes,Yes,No,1,No,-40 to 85,No ,TSSOP8,3 x 3 x 1.1,NXP
PCF8525TK,IC,30,1.2 to 5.5,0.064,I2C,400,7,Yes,No,No,Yes,No,1,2,Yes,-40 to 85,No ,HVSON10,3 x 3 x 0.5,NXP
PCF8525UK,IC,30,1.2 to 5.5,0.064,I2C,400,7,Yes,No,No,Yes,No,1,2,No,-40 to 85,No ,WLCSP12,1.14 x 1.54 x 0.5,NXP
PCA8525TK,IC,30,1.2 to 5.5,0.106,I2C,400,7,Yes,No,No,Yes,No,1,2,Yes,-40 to 125,Yes,HVSON10,3 x 3 x 0.5,NXP
PCA85063A,IC,20 to 50 at 25°C,1.8 to 5.5,0.25,I2C,400,7 or 12.5,No,No,No,Yes,Yes,No,1,No,-40 to 105,Yes,TSSOP8,3 x 3 x 1.1,NXP
